Zr-94(n.n'g)

Energy(keV), I -Relative,    Nuclide, Decay_Mode
    381.570, Most Likely,Zr-94(n.n'g), (n.n'g)
    550.880, Most Likely,Zr-94(n.n'g), (n.n'g)
    918.740, Most Likely,Zr-94(n.n'g), (n.n'g)
   1232.550, Most Likely,Zr-94(n.n'g), (n.n'g)
   1671.410, Most Likely,Zr-94(n.n'g), (n.n'g)
    308.220,          NA,Zr-94(n.n'g), (n.n'g)
    648.700,          NA,Zr-94(n.n'g), (n.n'g)
    694.660,          NA,Zr-94(n.n'g), (n.n'g)
    836.000,          NA,Zr-94(n.n'g), (n.n'g)
    887.400,          NA,Zr-94(n.n'g), (n.n'g)
   1066.300,          NA,Zr-94(n.n'g), (n.n'g)
   1134.900,          NA,Zr-94(n.n'g), (n.n'g)
   1138.880,          NA,Zr-94(n.n'g), (n.n'g)
   1154.600,          NA,Zr-94(n.n'g), (n.n'g)
   1161.790,          NA,Zr-94(n.n'g), (n.n'g)
   1384.900,          NA,Zr-94(n.n'g), (n.n'g)
   1391.000,          NA,Zr-94(n.n'g), (n.n'g)
   1411.400,          NA,Zr-94(n.n'g), (n.n'g)
   1447.410,          NA,Zr-94(n.n'g), (n.n'g)
   1589.500,          NA,Zr-94(n.n'g), (n.n'g)
   1751.100,          NA,Zr-94(n.n'g), (n.n'g)
   1779.700,          NA,Zr-94(n.n'g), (n.n'g)
   1969.400,          NA,Zr-94(n.n'g), (n.n'g)
   2140.600,          NA,Zr-94(n.n'g), (n.n'g)
   2237.300,          NA,Zr-94(n.n'g), (n.n'g)
   2442.100,          NA,Zr-94(n.n'g), (n.n'g)
   2846.300,          NA,Zr-94(n.n'g), (n.n'g)
