Cr-53(n.n'g)

Energy(keV), I -Relative,    Nuclide, Decay_Mode
    530.180, Most Likely,Cr-53(n.n'g), (n.n'g)
    564.030, Most Likely,Cr-53(n.n'g), (n.n'g)
   1006.140, Most Likely,Cr-53(n.n'g), (n.n'g)
   1289.590, Most Likely,Cr-53(n.n'g), (n.n'g)
   1973.590, Most Likely,Cr-53(n.n'g), (n.n'g)
    247.080,          NA,Cr-53(n.n'g), (n.n'g)
    280.700,          NA,Cr-53(n.n'g), (n.n'g)
    283.140,          NA,Cr-53(n.n'g), (n.n'g)
    335.000,          NA,Cr-53(n.n'g), (n.n'g)
    442.700,          NA,Cr-53(n.n'g), (n.n'g)
    533.490,          NA,Cr-53(n.n'g), (n.n'g)
    593.330,          NA,Cr-53(n.n'g), (n.n'g)
    684.100,          NA,Cr-53(n.n'g), (n.n'g)
    696.540,          NA,Cr-53(n.n'g), (n.n'g)
    734.400,          NA,Cr-53(n.n'g), (n.n'g)
    765.920,          NA,Cr-53(n.n'g), (n.n'g)
    882.800,          NA,Cr-53(n.n'g), (n.n'g)
    911.810,          NA,Cr-53(n.n'g), (n.n'g)
   1071.240,          NA,Cr-53(n.n'g), (n.n'g)
   1163.600,          NA,Cr-53(n.n'g), (n.n'g)
   1366.400,          NA,Cr-53(n.n'g), (n.n'g)
   1446.800,          NA,Cr-53(n.n'g), (n.n'g)
   1481.500,          NA,Cr-53(n.n'g), (n.n'g)
   1612.780,          NA,Cr-53(n.n'g), (n.n'g)
   1650.400,          NA,Cr-53(n.n'g), (n.n'g)
   1701.700,          NA,Cr-53(n.n'g), (n.n'g)
   1703.000,          NA,Cr-53(n.n'g), (n.n'g)
   1724.000,          NA,Cr-53(n.n'g), Dopp.Brd?
   1845.000,          NA,Cr-53(n.n'g), (n.n'g)
   1847.500,          NA,Cr-53(n.n'g), (n.n'g)
   1987.000,          NA,Cr-53(n.n'g), (n.n'g)
   2105.500,          NA,Cr-53(n.n'g), Dopp.Brd?
   2143.900,          NA,Cr-53(n.n'g), (n.n'g)
   2145.000,          NA,Cr-53(n.n'g), (n.n'g)
   2172.700,          NA,Cr-53(n.n'g), (n.n'g)
   2255.000,          NA,Cr-53(n.n'g), (n.n'g)
   2320.550,          NA,Cr-53(n.n'g), Dopp.Brd?
   2416.900,          NA,Cr-53(n.n'g), (n.n'g)
   2615.200,          NA,Cr-53(n.n'g), (n.n'g)
   2670.800,          NA,Cr-53(n.n'g), (n.n'g)
   2708.000,          NA,Cr-53(n.n'g), (n.n'g)
   2943.000,          NA,Cr-53(n.n'g), (n.n'g)
   3072.000,          NA,Cr-53(n.n'g), (n.n'g)
   3172.000,          NA,Cr-53(n.n'g), (n.n'g)
   3179.300,          NA,Cr-53(n.n'g), (n.n'g)
   3222.000,          NA,Cr-53(n.n'g), (n.n'g)
   3261.000,          NA,Cr-53(n.n'g), (n.n'g)
   3421.000,          NA,Cr-53(n.n'g), (n.n'g)
   3616.700,          NA,Cr-53(n.n'g), (n.n'g)
   3695.400,          NA,Cr-53(n.n'g), (n.n'g)
   4136.000,          NA,Cr-53(n.n'g), (n.n'g)
