Ca-46(n.g)

Energy(keV),  Phot/React,    Nuclide, Decay_Mode
   2013.570,   1.000e+00, Ca-46(n.g), (n.g)
   5262.100,   7.586e-01, Ca-46(n.g), (n.g)
    861.650,   1.241e-01, Ca-46(n.g), (n.g)
   2044.220,   1.034e-01, Ca-46(n.g), (n.g)
   3218.100,   9.655e-02, Ca-46(n.g), (n.g)
   1772.670,   4.483e-02, Ca-46(n.g), (n.g)
   2466.840,   1.793e-02, Ca-46(n.g), (n.g)
   4400.600,   1.069e-02, Ca-46(n.g), (n.g)
   3489.600,   8.276e-03, Ca-46(n.g), (n.g)
   2795.500,   2.207e-03, Ca-46(n.g), (n.g)
