Cu-65(n.g)

Energy(keV),  Phot/React,    Nuclide, Decay_Mode
    185.960,   3.647e-01, Cu-65(n.g), (n.g)
    465.140,   2.018e-01, Cu-65(n.g), (n.g)
    385.770,   1.958e-01, Cu-65(n.g), (n.g)
     89.080,   1.450e-01, Cu-65(n.g), (n.g)
   6600.630,   1.271e-01, Cu-65(n.g), (n.g)
   6680.000,   1.211e-01, Cu-65(n.g), (n.g)
   5245.590,   6.428e-02, Cu-65(n.g), (n.g)
   5320.080,   5.411e-02, Cu-65(n.g), (n.g)
   5042.680,   5.172e-02, Cu-65(n.g), (n.g)
   1559.840,   4.559e-02, Cu-65(n.g), (n.g)
    543.860,   3.827e-02, Cu-65(n.g), (n.g)
    315.690,   3.737e-02, Cu-65(n.g), (n.g)
    822.673,   3.558e-02, Cu-65(n.g), (n.g)
    237.800,   3.438e-02, Cu-65(n.g), (n.g)
   4384.920,   3.079e-02, Cu-65(n.g), (n.g)
   5047.560,   3.079e-02, Cu-65(n.g), (n.g)
    831.140,   2.392e-02, Cu-65(n.g), (n.g)
   6790.720,   2.317e-02, Cu-65(n.g), (n.g)
   6243.140,   2.152e-02, Cu-65(n.g), (n.g)
   1743.300,   2.093e-02, Cu-65(n.g), (n.g)
   1637.460,   2.018e-02, Cu-65(n.g), (n.g)
   1355.160,   1.988e-02, Cu-65(n.g), (n.g)
   7065.720,   1.973e-02, Cu-65(n.g), (n.g)
   1052.010,   1.749e-02, Cu-65(n.g), (n.g)
    972.110,   1.719e-02, Cu-65(n.g), (n.g)
    436.909,   1.674e-02, Cu-65(n.g), (n.g)
   1439.370,   1.659e-02, Cu-65(n.g), (n.g)
   1212.530,   1.570e-02, Cu-65(n.g), (n.g)
   6048.730,   1.510e-02, Cu-65(n.g), (n.g)
   1582.500,   1.405e-02, Cu-65(n.g), (n.g)
    997.630,   1.390e-02, Cu-65(n.g), (n.g)
   2215.540,   1.300e-02, Cu-65(n.g), (n.g)
   1832.380,   1.076e-02, Cu-65(n.g), (n.g)
   3900.240,   1.061e-02, Cu-65(n.g), (n.g)
    937.500,   1.001e-02, Cu-65(n.g), (n.g)
   5853.310,   9.865e-03, Cu-65(n.g), (n.g)
   1633.870,   9.567e-03, Cu-65(n.g), (n.g)
   1745.790,   9.567e-03, Cu-65(n.g), (n.g)
   4198.370,   9.567e-03, Cu-65(n.g), (n.g)
   3429.540,   9.417e-03, Cu-65(n.g), (n.g)
   4479.740,   9.417e-03, Cu-65(n.g), (n.g)
   4401.580,   9.118e-03, Cu-65(n.g), (n.g)
    878.820,   8.969e-03, Cu-65(n.g), (n.g)
    768.300,   8.819e-03, Cu-65(n.g), (n.g)
   4899.940,   8.371e-03, Cu-65(n.g), (n.g)
   1820.290,   8.221e-03, Cu-65(n.g), (n.g)
   4117.290,   7.922e-03, Cu-65(n.g), (n.g)
    190.110,   7.623e-03, Cu-65(n.g), (n.g)
   3025.950,   7.623e-03, Cu-65(n.g), (n.g)
   2949.590,   7.474e-03, Cu-65(n.g), (n.g)
   4327.000,   7.474e-03, Cu-65(n.g), (n.g)
    814.210,   7.025e-03, Cu-65(n.g), (n.g)
   1677.840,   6.876e-03, Cu-65(n.g), (n.g)
   1428.160,   6.726e-03, Cu-65(n.g), (n.g)
   2822.250,   6.726e-03, Cu-65(n.g), (n.g)
   3172.600,   6.726e-03, Cu-65(n.g), (n.g)
   4377.750,   6.726e-03, Cu-65(n.g), (n.g)
   4902.810,   6.726e-03, Cu-65(n.g), (n.g)
   1470.770,   6.577e-03, Cu-65(n.g), (n.g)
   4039.970,   6.577e-03, Cu-65(n.g), (n.g)
    714.590,   6.428e-03, Cu-65(n.g), (n.g)
   2700.570,   6.428e-03, Cu-65(n.g), (n.g)
   1197.310,   6.278e-03, Cu-65(n.g), (n.g)
   1837.260,   6.278e-03, Cu-65(n.g), (n.g)
   3293.700,   6.278e-03, Cu-65(n.g), (n.g)
   3530.630,   6.278e-03, Cu-65(n.g), (n.g)
   2629.770,   6.129e-03, Cu-65(n.g), (n.g)
    194.420,   5.979e-03, Cu-65(n.g), (n.g)
   3251.350,   5.979e-03, Cu-65(n.g), (n.g)
   1053.970,   5.830e-03, Cu-65(n.g), (n.g)
   5518.490,   5.830e-03, Cu-65(n.g), (n.g)
   3465.090,   5.680e-03, Cu-65(n.g), (n.g)
   1272.340,   5.531e-03, Cu-65(n.g), (n.g)
   4112.870,   5.531e-03, Cu-65(n.g), (n.g)
    426.370,   5.381e-03, Cu-65(n.g), (n.g)
    958.200,   5.381e-03, Cu-65(n.g), (n.g)
   4276.590,   5.247e-03, Cu-65(n.g), (n.g)
   1748.190,   5.232e-03, Cu-65(n.g), (n.g)
   1374.410,   5.082e-03, Cu-65(n.g), (n.g)
   2423.910,   5.082e-03, Cu-65(n.g), (n.g)
   2487.930,   5.082e-03, Cu-65(n.g), (n.g)
   3270.900,   4.933e-03, Cu-65(n.g), (n.g)
    199.810,   4.783e-03, Cu-65(n.g), (n.g)
    275.040,   4.783e-03, Cu-65(n.g), (n.g)
    724.020,   4.723e-03, Cu-65(n.g), (n.g)
   5388.030,   4.709e-03, Cu-65(n.g), (n.g)
   1651.880,   4.679e-03, Cu-65(n.g), (n.g)
    956.650,   4.634e-03, Cu-65(n.g), (n.g)
    987.090,   4.634e-03, Cu-65(n.g), (n.g)
   1468.500,   4.634e-03, Cu-65(n.g), (n.g)
   2688.160,   4.634e-03, Cu-65(n.g), (n.g)
   1298.890,   4.484e-03, Cu-65(n.g), (n.g)
   3818.220,   4.484e-03, Cu-65(n.g), (n.g)
   1302.640,   4.335e-03, Cu-65(n.g), (n.g)
    357.530,   4.275e-03, Cu-65(n.g), (n.g)
    551.960,   4.275e-03, Cu-65(n.g), (n.g)
   2680.990,   4.215e-03, Cu-65(n.g), (n.g)
    753.910,   4.185e-03, Cu-65(n.g), (n.g)
   3724.020,   4.185e-03, Cu-65(n.g), (n.g)
   3778.560,   4.185e-03, Cu-65(n.g), (n.g)
   2023.590,   4.126e-03, Cu-65(n.g), (n.g)
   1552.620,   4.036e-03, Cu-65(n.g), (n.g)
   2862.780,   4.036e-03, Cu-65(n.g), (n.g)
   2953.050,   4.036e-03, Cu-65(n.g), (n.g)
    481.410,   3.886e-03, Cu-65(n.g), (n.g)
    810.700,   3.886e-03, Cu-65(n.g), (n.g)
   1728.030,   3.886e-03, Cu-65(n.g), (n.g)
   2552.970,   3.886e-03, Cu-65(n.g), (n.g)
    847.500,   3.797e-03, Cu-65(n.g), (n.g)
   3966.880,   3.767e-03, Cu-65(n.g), (n.g)
   1558.080,   3.737e-03, Cu-65(n.g), (n.g)
   3557.240,   3.737e-03, Cu-65(n.g), (n.g)
   3870.920,   3.737e-03, Cu-65(n.g), (n.g)
   3857.110,   3.692e-03, Cu-65(n.g), (n.g)
   1139.660,   3.587e-03, Cu-65(n.g), (n.g)
   1293.420,   3.587e-03, Cu-65(n.g), (n.g)
   2163.090,   3.587e-03, Cu-65(n.g), (n.g)
   2389.310,   3.587e-03, Cu-65(n.g), (n.g)
   3974.710,   3.453e-03, Cu-65(n.g), (n.g)
    458.160,   3.438e-03, Cu-65(n.g), (n.g)
