W-182(n.g)

Energy(keV),  Phot/React,    Nuclide, Decay_Mode
   6190.780,   8.539e-02, W-182(n.g), (n.g)
     46.484,   3.643e-02, W-182(n.g), (n.g)
   5164.430,   3.605e-02, W-182(n.g), (n.g)
    162.315,   3.548e-02, W-182(n.g), (n.g)
   6144.280,   3.302e-02, W-182(n.g), (n.g)
   1026.373,   3.055e-02, W-182(n.g), (n.g)
     99.079,   2.941e-02, W-182(n.g), (n.g)
    107.932,   2.732e-02, W-182(n.g), (n.g)
     52.529,   2.429e-02, W-182(n.g), (n.g)
    979.871,   1.935e-02, W-182(n.g), (n.g)
    888.080,   1.442e-02, W-182(n.g), (n.g)
    313.016,   1.025e-02, W-182(n.g), (n.g)
   4014.170,   9.488e-03, W-182(n.g), (n.g)
    291.724,   8.596e-03, W-182(n.g), (n.g)
   4246.610,   8.159e-03, W-182(n.g), (n.g)
   4518.110,   7.400e-03, W-182(n.g), (n.g)
   1424.420,   5.693e-03, W-182(n.g), (n.g)
    246.060,   5.313e-03, W-182(n.g), (n.g)
     84.713,   4.953e-03, W-182(n.g), (n.g)
   4367.180,   4.934e-03, W-182(n.g), (n.g)
   4562.860,   4.934e-03, W-182(n.g), (n.g)
   1100.730,   4.554e-03, W-182(n.g), (n.g)
    927.294,   4.459e-03, W-182(n.g), (n.g)
    208.817,   4.383e-03, W-182(n.g), (n.g)
    694.640,   4.364e-03, W-182(n.g), (n.g)
    846.330,   4.194e-03, W-182(n.g), (n.g)
    696.770,   4.175e-03, W-182(n.g), (n.g)
   1509.680,   4.175e-03, W-182(n.g), (n.g)
    109.738,   3.814e-03, W-182(n.g), (n.g)
   4304.650,   3.795e-03, W-182(n.g), (n.g)
   1347.370,   3.605e-03, W-182(n.g), (n.g)
   4026.210,   3.605e-03, W-182(n.g), (n.g)
   4719.900,   3.586e-03, W-182(n.g), (n.g)
    160.528,   3.472e-03, W-182(n.g), (n.g)
   4064.480,   3.416e-03, W-182(n.g), (n.g)
   1262.100,   3.397e-03, W-182(n.g), (n.g)
   4379.770,   3.226e-03, W-182(n.g), (n.g)
    817.557,   2.979e-03, W-182(n.g), (n.g)
   4634.640,   2.846e-03, W-182(n.g), (n.g)
    209.876,   2.657e-03, W-182(n.g), (n.g)
   1556.180,   2.657e-03, W-182(n.g), (n.g)
   4460.590,   2.353e-03, W-182(n.g), (n.g)
   4162.330,   2.315e-03, W-182(n.g), (n.g)
   5256.220,   2.315e-03, W-182(n.g), (n.g)
    941.020,   2.220e-03, W-182(n.g), (n.g)
    960.290,   1.917e-03, W-182(n.g), (n.g)
   1470.920,   1.898e-03, W-182(n.g), (n.g)
   1504.070,   1.898e-03, W-182(n.g), (n.g)
    161.347,   1.708e-03, W-182(n.g), (n.g)
   3943.090,   1.708e-03, W-182(n.g), (n.g)
    205.084,   1.651e-03, W-182(n.g), (n.g)
    244.254,   1.518e-03, W-182(n.g), (n.g)
   3955.750,   1.480e-03, W-182(n.g), (n.g)
    142.220,   1.423e-03, W-182(n.g), (n.g)
    353.992,   1.404e-03, W-182(n.g), (n.g)
   4091.900,   1.404e-03, W-182(n.g), (n.g)
   1210.460,   1.385e-03, W-182(n.g), (n.g)
   3981.750,   1.328e-03, W-182(n.g), (n.g)
    611.730,   1.233e-03, W-182(n.g), (n.g)
   4132.300,   1.157e-03, W-182(n.g), (n.g)
   4881.270,   1.082e-03, W-182(n.g), (n.g)
   4557.600,   9.867e-04, W-182(n.g), (n.g)
     82.907,   8.159e-04, W-182(n.g), (n.g)
    192.645,   8.159e-04, W-182(n.g), (n.g)
    776.250,   8.159e-04, W-182(n.g), (n.g)
   1080.660,   8.159e-04, W-182(n.g), (n.g)
   4297.370,   8.159e-04, W-182(n.g), (n.g)
    365.593,   7.780e-04, W-182(n.g), (n.g)
   4021.200,   7.590e-04, W-182(n.g), (n.g)
   4201.160,   7.590e-04, W-182(n.g), (n.g)
    245.222,   7.400e-04, W-182(n.g), (n.g)
   1149.840,   7.211e-04, W-182(n.g), (n.g)
   4034.000,   7.211e-04, W-182(n.g), (n.g)
    203.278,   7.021e-04, W-182(n.g), (n.g)
