W-184(n.n'g)

Energy(keV), I -Relative,    Nuclide, Decay_Mode
    111.217,   1.000e+00,W-184(n.n'g), (n.n'g)
    252.845,   3.256e-01,W-184(n.n'g), (n.n'g)
    792.067,   1.372e-01,W-184(n.n'g), (n.n'g)
    226.746,   1.209e-01,W-184(n.n'g), (n.n'g)
    894.760,   1.186e-01,W-184(n.n'g), (n.n'g)
    903.282,   1.163e-01,W-184(n.n'g), (n.n'g)
    318.008,   6.628e-02,W-184(n.n'g), (n.n'g)
    384.250,   4.070e-02,W-184(n.n'g), (n.n'g)
   1010.245,   2.674e-02,W-184(n.n'g), (n.n'g)
    339.340,   2.209e-02,W-184(n.n'g), (n.n'g)
    891.270,   2.093e-02,W-184(n.n'g), (n.n'g)
   1022.630,   1.860e-02,W-184(n.n'g), (n.n'g)
    920.933,   1.512e-02,W-184(n.n'g), (n.n'g)
    757.600,   1.395e-02,W-184(n.n'g), (n.n'g)
    641.915,   1.279e-02,W-184(n.n'g), (n.n'g)
    930.870,   1.128e-02,W-184(n.n'g), (n.n'g)
   1275.110,   1.128e-02,W-184(n.n'g), (n.n'g)
    724.390,   9.767e-03,W-184(n.n'g), (n.n'g)
   1430.970,   9.302e-03,W-184(n.n'g), (n.n'g)
   1386.302,   7.907e-03,W-184(n.n'g), (n.n'g)
    536.674,   7.442e-03,W-184(n.n'g), (n.n'g)
   1110.080,   6.977e-03,W-184(n.n'g), (n.n'g)
   1121.422,   5.814e-03,W-184(n.n'g), (n.n'g)
    418.847,   4.651e-03,W-184(n.n'g), (n.n'g)
   1173.770,   4.651e-03,W-184(n.n'g), multiplet?
    763.600,   4.419e-03,W-184(n.n'g), (n.n'g)
    607.620,   4.302e-03,W-184(n.n'g), (n.n'g)
    203.560,   3.721e-03,W-184(n.n'g), (n.n'g)
    981.100,   2.674e-03,W-184(n.n'g), (n.n'g)
   1995.350,   2.674e-03,W-184(n.n'g), (n.n'g)
    461.060,   2.326e-03,W-184(n.n'g), (n.n'g)
   1060.850,   2.326e-03,W-184(n.n'g), (n.n'g)
    238.800,   2.093e-03,W-184(n.n'g), (n.n'g)
   1571.500,   2.093e-03,W-184(n.n'g), (n.n'g)
   2097.600,   2.093e-03,W-184(n.n'g), (n.n'g)
    810.160,   1.744e-03,W-184(n.n'g), (n.n'g)
   1783.600,   1.628e-03,W-184(n.n'g), (n.n'g)
    526.800,   1.512e-03,W-184(n.n'g), (n.n'g)
   2015.320,   1.395e-03,W-184(n.n'g), (n.n'g)
   2035.100,   1.395e-03,W-184(n.n'g), (n.n'g)
   1808.500,   1.163e-03,W-184(n.n'g), (n.n'g)
   1502.350,   1.047e-03,W-184(n.n'g), (n.n'g)
   1503.740,   1.047e-03,W-184(n.n'g), (n.n'g)
   1765.600,   1.047e-03,W-184(n.n'g), (n.n'g)
   1530.500,   6.977e-04,W-184(n.n'g), (n.n'g)
    161.270,          NA,W-184(n.n'g), (n.n'g)
    215.326,          NA,W-184(n.n'g), (n.n'g)
    294.962,          NA,W-184(n.n'g), multiplet?
    296.460,          NA,W-184(n.n'g), (n.n'g)
    655.500,          NA,W-184(n.n'g), multiplet?
    710.080,          NA,W-184(n.n'g), (n.n'g)
    711.580,          NA,W-184(n.n'g), (n.n'g)
    769.440,          NA,W-184(n.n'g), (n.n'g)
    769.778,          NA,W-184(n.n'g), multiplet?
    996.180,          NA,W-184(n.n'g), multiplet?
   1211.000,          NA,W-184(n.n'g), (n.n'g)
   1249.800,          NA,W-184(n.n'g), (n.n'g)
   1312.200,          NA,W-184(n.n'g), (n.n'g)
   1313.790,          NA,W-184(n.n'g), (n.n'g)
   1319.600,          NA,W-184(n.n'g), (n.n'g)
   1319.840,          NA,W-184(n.n'g), (n.n'g)
   1412.050,          NA,W-184(n.n'g), (n.n'g)
   1412.400,          NA,W-184(n.n'g), (n.n'g)
   1550.400,          NA,W-184(n.n'g), (n.n'g)
   1949.600,          NA,W-184(n.n'g), (n.n'g)
   2056.500,          NA,W-184(n.n'g), multiplet?
