Cl-35(n.g)

Energy(keV),  Phot/React,    Nuclide, Decay_Mode
   1164.865,   2.700e-01, Cl-35(n.g), (n.g)
    517.073,   2.297e-01, Cl-35(n.g), (n.g)
   6110.842,   1.997e-01, Cl-35(n.g), (n.g)
   1951.140,   1.918e-01, Cl-35(n.g), (n.g)
    788.428,   1.642e-01, Cl-35(n.g), (n.g)
   1959.346,   1.242e-01, Cl-35(n.g), (n.g)
    786.302,   1.036e-01, Cl-35(n.g), (n.g)
   7413.968,   9.970e-02, Cl-35(n.g), (n.g)
   7790.330,   8.061e-02, Cl-35(n.g), (n.g)
   6619.615,   7.667e-02, Cl-35(n.g), (n.g)
   2863.819,   5.515e-02, Cl-35(n.g), (n.g)
   5715.244,   5.515e-02, Cl-35(n.g), (n.g)
   6627.821,   4.455e-02, Cl-35(n.g), (n.g)
   4979.759,   3.727e-02, Cl-35(n.g), (n.g)
   1601.072,   3.667e-02, Cl-35(n.g), (n.g)
   3061.820,   3.424e-02, Cl-35(n.g), (n.g)
   8578.575,   2.676e-02, Cl-35(n.g), (n.g)
   1162.739,   2.303e-02, Cl-35(n.g), (n.g)
   6977.836,   2.245e-02, Cl-35(n.g), (n.g)
   1131.250,   1.897e-02, Cl-35(n.g), (n.g)
   5517.250,   1.697e-02, Cl-35(n.g), (n.g)
   2676.310,   1.615e-02, Cl-35(n.g), (n.g)
   1327.405,   1.218e-02, Cl-35(n.g), (n.g)
   4944.360,   1.148e-02, Cl-35(n.g), (n.g)
   2975.210,   1.142e-02, Cl-35(n.g), (n.g)
   4440.390,   1.142e-02, Cl-35(n.g), (n.g)
   5902.740,   1.127e-02, Cl-35(n.g), (n.g)
   2311.380,   1.061e-02, Cl-35(n.g), (n.g)
   2845.500,   1.058e-02, Cl-35(n.g), (n.g)
   3980.980,   1.003e-02, Cl-35(n.g), (n.g)
   3015.970,   9.939e-03, Cl-35(n.g), (n.g)
   3821.330,   9.697e-03, Cl-35(n.g), (n.g)
    436.222,   9.364e-03, Cl-35(n.g), (n.g)
   3116.040,   9.000e-03, Cl-35(n.g), (n.g)
   6086.804,   8.939e-03, Cl-35(n.g), (n.g)
   2994.548,   8.455e-03, Cl-35(n.g), (n.g)
   3428.830,   8.212e-03, Cl-35(n.g), (n.g)
   4082.670,   7.970e-03, Cl-35(n.g), (n.g)
   2075.440,   7.636e-03, Cl-35(n.g), (n.g)
   3825.220,   7.576e-03, Cl-35(n.g), (n.g)
   3332.870,   7.303e-03, Cl-35(n.g), (n.g)
   2469.970,   7.273e-03, Cl-35(n.g), (n.g)
   2034.630,   7.242e-03, Cl-35(n.g), (n.g)
   3827.060,   7.212e-03, Cl-35(n.g), (n.g)
   4728.940,   6.758e-03, Cl-35(n.g), (n.g)
   3001.070,   6.545e-03, Cl-35(n.g), (n.g)
   1975.220,   6.485e-03, Cl-35(n.g), (n.g)
   3561.370,   6.364e-03, Cl-35(n.g), (n.g)
   4616.450,   6.364e-03, Cl-35(n.g), (n.g)
   2156.190,   6.212e-03, Cl-35(n.g), (n.g)
   5246.958,   5.909e-03, Cl-35(n.g), (n.g)
   4054.250,   5.879e-03, Cl-35(n.g), (n.g)
