Bi-209(n.n'g)

Energy(keV), I -Relative,    Nuclide, Decay_Mode
   4051.800,   6.300e-02,Bi-209(n.n'g), (n.n'g)
   4515.300,   6.200e-02,Bi-209(n.n'g), (n.n'g)
   3866.000,   5.800e-02,Bi-209(n.n'g), (n.n'g)
   3024.500,   5.600e-02,Bi-209(n.n'g), (n.n'g)
   4713.500,   5.400e-02,Bi-209(n.n'g), (n.n'g)
   4009.300,   5.300e-02,Bi-209(n.n'g), (n.n'g)
   4830.200,   5.300e-02,Bi-209(n.n'g), (n.n'g)
   3262.800,   5.200e-02,Bi-209(n.n'g), (n.n'g)
   3815.900,   5.100e-02,Bi-209(n.n'g), (n.n'g)
   2806.200,   5.000e-02,Bi-209(n.n'g), (n.n'g)
   3181.100,   5.000e-02,Bi-209(n.n'g), (n.n'g)
   4750.900,   5.000e-02,Bi-209(n.n'g), (n.n'g)
   4790.000,   5.000e-02,Bi-209(n.n'g), (n.n'g)
   4837.500,   4.700e-02,Bi-209(n.n'g), (n.n'g)
   3902.000,   4.600e-02,Bi-209(n.n'g), (n.n'g)
   4796.000,   4.200e-02,Bi-209(n.n'g), (n.n'g)
   3251.600,   4.100e-02,Bi-209(n.n'g), (n.n'g)
   3884.300,   4.100e-02,Bi-209(n.n'g), (n.n'g)
   4036.500,   4.100e-02,Bi-209(n.n'g), (n.n'g)
   4646.000,   4.100e-02,Bi-209(n.n'g), (n.n'g)
   5424.600,   4.100e-02,Bi-209(n.n'g), (n.n'g)
   4663.000,   4.000e-02,Bi-209(n.n'g), (n.n'g)
   4996.100,   4.000e-02,Bi-209(n.n'g), (n.n'g)
   3601.700,   3.700e-02,Bi-209(n.n'g), (n.n'g)
   5235.000,   3.700e-02,Bi-209(n.n'g), (n.n'g)
   4470.500,   3.500e-02,Bi-209(n.n'g), (n.n'g)
   3941.400,   3.300e-02,Bi-209(n.n'g), (n.n'g)
   4879.600,   3.200e-02,Bi-209(n.n'g), (n.n'g)
   5510.400,   3.200e-02,Bi-209(n.n'g), (n.n'g)
   4160.900,   3.000e-02,Bi-209(n.n'g), (n.n'g)
   5353.900,   3.000e-02,Bi-209(n.n'g), (n.n'g)
   4387.700,   2.900e-02,Bi-209(n.n'g), (n.n'g)
   3905.900,   2.800e-02,Bi-209(n.n'g), (n.n'g)
   4340.700,   2.600e-02,Bi-209(n.n'g), (n.n'g)
   4762.200,   2.600e-02,Bi-209(n.n'g), (n.n'g)
   3785.400,   2.500e-02,Bi-209(n.n'g), (n.n'g)
   4222.900,   2.500e-02,Bi-209(n.n'g), (n.n'g)
   4627.000,   2.500e-02,Bi-209(n.n'g), (n.n'g)
   4948.600,   2.500e-02,Bi-209(n.n'g), (n.n'g)
   5559.800,   2.500e-02,Bi-209(n.n'g), (n.n'g)
   4376.500,   2.400e-02,Bi-209(n.n'g), (n.n'g)
   4587.800,   2.400e-02,Bi-209(n.n'g), (n.n'g)
   5167.600,   2.300e-02,Bi-209(n.n'g), (n.n'g)
   5056.600,   2.000e-02,Bi-209(n.n'g), (n.n'g)
   5293.300,   2.000e-02,Bi-209(n.n'g), (n.n'g)
   5484.300,   2.000e-02,Bi-209(n.n'g), (n.n'g)
   5312.500,   1.800e-02,Bi-209(n.n'g), (n.n'g)
   5411.100,   1.800e-02,Bi-209(n.n'g), (n.n'g)
   4641.800,   1.700e-02,Bi-209(n.n'g), (n.n'g)
   5182.600,   1.700e-02,Bi-209(n.n'g), (n.n'g)
   5404.400,   1.700e-02,Bi-209(n.n'g), (n.n'g)
   4967.500,   1.600e-02,Bi-209(n.n'g), (n.n'g)
   4439.100,   1.500e-02,Bi-209(n.n'g), (n.n'g)
   4682.000,   1.500e-02,Bi-209(n.n'g), (n.n'g)
   5589.100,   1.500e-02,Bi-209(n.n'g), (n.n'g)
   5464.500,   1.300e-02,Bi-209(n.n'g), (n.n'g)
   5570.500,   1.300e-02,Bi-209(n.n'g), (n.n'g)
   5652.500,   1.200e-02,Bi-209(n.n'g), (n.n'g)
   5523.900,   1.100e-02,Bi-209(n.n'g), (n.n'g)
   4602.500,   1.000e-02,Bi-209(n.n'g), (n.n'g)
   5281.800,   1.000e-02,Bi-209(n.n'g), (n.n'g)
   5440.100,   1.000e-02,Bi-209(n.n'g), (n.n'g)
   5497.900,   1.000e-02,Bi-209(n.n'g), (n.n'g)
   5538.700,   1.000e-02,Bi-209(n.n'g), (n.n'g)
   5925.000,   1.000e-02,Bi-209(n.n'g), (n.n'g)
   7176.500,   8.000e-03,Bi-209(n.n'g), (n.n'g)
   7243.800,   5.000e-03,Bi-209(n.n'g), (n.n'g)
   6944.700,   3.000e-03,Bi-209(n.n'g), (n.n'g)
    140.130,          NA,Bi-209(n.n'g), (n.n'g)
    245.730,          NA,Bi-209(n.n'g), (n.n'g)
