Zr-92(n.g)

Energy(keV),  Phot/React,    Nuclide, Decay_Mode
    266.780,   2.395e-01, Zr-92(n.g), (n.g)
   2190.200,   1.158e-01, Zr-92(n.g), (n.g)
   1650.100,   7.632e-02, Zr-92(n.g), (n.g)
   1425.200,   7.553e-02, Zr-92(n.g), (n.g)
   5309.900,   6.316e-02, Zr-92(n.g), (n.g)
    946.600,   5.263e-02, Zr-92(n.g), (n.g)
   1917.200,   4.474e-02, Zr-92(n.g), (n.g)
   4278.100,   3.868e-02, Zr-92(n.g), (n.g)
   3459.400,   3.605e-02, Zr-92(n.g), (n.g)
   2473.400,   2.395e-02, Zr-92(n.g), (n.g)
   6468.300,   2.395e-02, Zr-92(n.g), (n.g)
   6735.000,   2.395e-02, Zr-92(n.g), (n.g)
   2531.200,   2.263e-02, Zr-92(n.g), (n.g)
   1641.000,   1.947e-02, Zr-92(n.g), (n.g)
   1827.000,   1.737e-02, Zr-92(n.g), (n.g)
   3275.700,   1.368e-02, Zr-92(n.g), (n.g)
   4203.900,   1.237e-02, Zr-92(n.g), (n.g)
   4261.800,   8.421e-03, Zr-92(n.g), (n.g)
