Ca-40(n.g)

Energy(keV),  Phot/React,    Nuclide, Decay_Mode
   1942.670,   8.866e-01, Ca-40(n.g), (n.g)
   6419.590,   4.433e-01, Ca-40(n.g), (n.g)
   4418.520,   1.783e-01, Ca-40(n.g), (n.g)
   2001.310,   1.660e-01, Ca-40(n.g), (n.g)
    519.660,   1.267e-01, Ca-40(n.g), (n.g)
   2009.840,   1.030e-01, Ca-40(n.g), (n.g)
   3609.800,   7.128e-02, Ca-40(n.g), (n.g)
   5900.020,   6.499e-02, Ca-40(n.g), (n.g)
   2810.060,   4.207e-02, Ca-40(n.g), (n.g)
   4749.210,   3.375e-02, Ca-40(n.g), (n.g)
    727.170,   2.947e-02, Ca-40(n.g), (n.g)
   3759.480,   2.947e-02, Ca-40(n.g), (n.g)
   1389.820,   2.670e-02, Ca-40(n.g), (n.g)
   3584.770,   2.519e-02, Ca-40(n.g), (n.g)
   2290.430,   1.940e-02, Ca-40(n.g), (n.g)
   2660.370,   1.864e-02, Ca-40(n.g), (n.g)
   2767.920,   1.763e-02, Ca-40(n.g), (n.g)
   1670.600,   1.738e-02, Ca-40(n.g), (n.g)
   4962.790,   1.688e-02, Ca-40(n.g), (n.g)
   5692.530,   1.688e-02, Ca-40(n.g), (n.g)
   2605.340,   1.537e-02, Ca-40(n.g), (n.g)
   1150.950,   1.310e-02, Ca-40(n.g), (n.g)
   1481.670,   1.285e-02, Ca-40(n.g), (n.g)
   4516.540,   1.234e-02, Ca-40(n.g), (n.g)
    660.000,   1.227e-02, Ca-40(n.g), (n.g)
   1836.450,   8.514e-03, Ca-40(n.g), (n.g)
   2574.940,   8.237e-03, Ca-40(n.g), (n.g)
   6352.430,   7.305e-03, Ca-40(n.g), (n.g)
   4836.990,   6.801e-03, Ca-40(n.g), (n.g)
   3069.060,   6.549e-03, Ca-40(n.g), (n.g)
    443.810,   5.793e-03, Ca-40(n.g), (n.g)
   1039.330,   5.693e-03, Ca-40(n.g), (n.g)
   3945.610,   5.542e-03, Ca-40(n.g), (n.g)
   5313.250,   5.315e-03, Ca-40(n.g), (n.g)
   1933.380,   5.290e-03, Ca-40(n.g), (n.g)
   1106.500,   4.710e-03, Ca-40(n.g), (n.g)
    943.440,   4.635e-03, Ca-40(n.g), (n.g)
   3350.800,   4.559e-03, Ca-40(n.g), (n.g)
   1582.800,   4.383e-03, Ca-40(n.g), (n.g)
   2407.170,   3.778e-03, Ca-40(n.g), (n.g)
   1903.800,   2.796e-03, Ca-40(n.g), (n.g)
   1484.920,   2.469e-03, Ca-40(n.g), (n.g)
    855.650,   2.343e-03, Ca-40(n.g), (n.g)
   1612.130,   2.166e-03, Ca-40(n.g), (n.g)
   1811.670,   2.141e-03, Ca-40(n.g), (n.g)
   3001.890,   1.839e-03, Ca-40(n.g), (n.g)
   2028.700,   1.562e-03, Ca-40(n.g), (n.g)
   2835.230,   1.259e-03, Ca-40(n.g), (n.g)
   1282.800,   1.008e-03, Ca-40(n.g), (n.g)
