Ge-73(n.g)

Energy(keV),  Phot/React,    Nuclide, Decay_Mode
    595.851,   9.910e-01, Ge-73(n.g), (n.g)
    867.899,   4.982e-01, Ge-73(n.g), (n.g)
    608.353,   2.252e-01, Ge-73(n.g), (n.g)
   1204.199,   1.270e-01, Ge-73(n.g), (n.g)
   1101.282,   1.207e-01, Ge-73(n.g), (n.g)
    492.933,   1.198e-01, Ge-73(n.g), (n.g)
    961.055,   1.162e-01, Ge-73(n.g), (n.g)
   1471.712,   7.477e-02, Ge-73(n.g), (n.g)
   1105.557,   6.378e-02, Ge-73(n.g), (n.g)
    701.509,   5.784e-02, Ge-73(n.g), (n.g)
    999.775,   5.234e-02, Ge-73(n.g), (n.g)
   1131.360,   4.387e-02, Ge-73(n.g), (n.g)
   1509.719,   3.802e-02, Ge-73(n.g), (n.g)
   1940.422,   3.441e-02, Ge-73(n.g), (n.g)
    939.249,   2.838e-02, Ge-73(n.g), (n.g)
   7260.187,   2.432e-02, Ge-73(n.g), (n.g)
   1489.491,   2.108e-02, Ge-73(n.g), (n.g)
   2073.746,   1.847e-02, Ge-73(n.g), (n.g)
    516.190,   1.802e-02, Ge-73(n.g), (n.g)
   6717.462,   1.802e-02, Ge-73(n.g), (n.g)
    808.218,   1.775e-02, Ge-73(n.g), (n.g)
   1617.539,   1.775e-02, Ge-73(n.g), (n.g)
   1631.830,   1.577e-02, Ge-73(n.g), (n.g)
   7091.164,   1.532e-02, Ge-73(n.g), (n.g)
    606.800,   1.351e-02, Ge-73(n.g), (n.g)
   6265.840,   1.351e-02, Ge-73(n.g), (n.g)
   1755.860,   1.261e-02, Ge-73(n.g), (n.g)
   4423.230,   1.261e-02, Ge-73(n.g), (n.g)
   4423.810,   1.261e-02, Ge-73(n.g), (n.g)
   1635.840,   1.243e-02, Ge-73(n.g), (n.g)
    770.211,   1.216e-02, Ge-73(n.g), (n.g)
    531.654,   1.198e-02, Ge-73(n.g), (n.g)
   1200.750,   1.171e-02, Ge-73(n.g), (n.g)
   1200.890,   1.171e-02, Ge-73(n.g), (n.g)
   1200.940,   1.171e-02, Ge-73(n.g), (n.g)
   5165.560,   1.171e-02, Ge-73(n.g), (n.g)
   1712.780,   1.162e-02, Ge-73(n.g), (n.g)
   1640.749,   1.153e-02, Ge-73(n.g), (n.g)
   8731.744,   1.153e-02, Ge-73(n.g), (n.g)
   1150.441,   1.144e-02, Ge-73(n.g), (n.g)
   2014.478,   1.144e-02, Ge-73(n.g), (n.g)
   1332.081,   1.099e-02, Ge-73(n.g), (n.g)
   1513.410,   1.081e-02, Ge-73(n.g), (n.g)
   1513.740,   1.081e-02, Ge-73(n.g), (n.g)
   6199.960,   1.081e-02, Ge-73(n.g), (n.g)
   8498.388,   1.081e-02, Ge-73(n.g), (n.g)
   8030.317,   1.054e-02, Ge-73(n.g), (n.g)
   1228.200,   1.045e-02, Ge-73(n.g), (n.g)
   1573.870,   1.036e-02, Ge-73(n.g), (n.g)
   1205.862,   1.027e-02, Ge-73(n.g), (n.g)
    878.130,   1.009e-02, Ge-73(n.g), (n.g)
   5361.770,   1.000e-02, Ge-73(n.g), (n.g)
   1138.777,   9.910e-03, Ge-73(n.g), (n.g)
   1227.336,   9.820e-03, Ge-73(n.g), (n.g)
   1755.840,   9.820e-03, Ge-73(n.g), (n.g)
   1807.490,   9.820e-03, Ge-73(n.g), (n.g)
   5064.300,   9.459e-03, Ge-73(n.g), (n.g)
   1191.570,   9.009e-03, Ge-73(n.g), (n.g)
   1236.057,   9.009e-03, Ge-73(n.g), (n.g)
   1258.410,   9.009e-03, Ge-73(n.g), (n.g)
   1322.700,   9.009e-03, Ge-73(n.g), (n.g)
   2257.030,   9.009e-03, Ge-73(n.g), (n.g)
   6363.820,   9.009e-03, Ge-73(n.g), (n.g)
   1384.158,   8.919e-03, Ge-73(n.g), (n.g)
   2532.010,   8.649e-03, Ge-73(n.g), (n.g)
   5088.000,   8.649e-03, Ge-73(n.g), (n.g)
    883.271,   8.559e-03, Ge-73(n.g), (n.g)
   2313.710,   8.468e-03, Ge-73(n.g), (n.g)
   6405.000,   8.378e-03, Ge-73(n.g), (n.g)
    481.690,   8.108e-03, Ge-73(n.g), (n.g)
   2785.790,   8.108e-03, Ge-73(n.g), (n.g)
   3591.300,   8.108e-03, Ge-73(n.g), (n.g)
   4951.910,   8.108e-03, Ge-73(n.g), (n.g)
    289.220,   8.018e-03, Ge-73(n.g), (n.g)
   1872.790,   8.018e-03, Ge-73(n.g), (n.g)
   1844.313,   7.928e-03, Ge-73(n.g), (n.g)
   1189.690,   7.838e-03, Ge-73(n.g), (n.g)
   4034.410,   7.658e-03, Ge-73(n.g), (n.g)
    737.927,   7.387e-03, Ge-73(n.g), (n.g)
   5559.840,   7.387e-03, Ge-73(n.g), (n.g)
   1337.860,   7.297e-03, Ge-73(n.g), (n.g)
   1254.440,   7.207e-03, Ge-73(n.g), (n.g)
   1267.500,   7.207e-03, Ge-73(n.g), (n.g)
   1267.890,   7.207e-03, Ge-73(n.g), (n.g)
   1675.730,   7.207e-03, Ge-73(n.g), (n.g)
   4621.980,   7.207e-03, Ge-73(n.g), (n.g)
   6360.483,   7.207e-03, Ge-73(n.g), (n.g)
   6785.776,   7.207e-03, Ge-73(n.g), (n.g)
   6814.020,   7.207e-03, Ge-73(n.g), (n.g)
    468.125,   7.117e-03, Ge-73(n.g), (n.g)
   7222.184,   7.117e-03, Ge-73(n.g), (n.g)
   5223.130,   6.937e-03, Ge-73(n.g), (n.g)
   6680.276,   6.847e-03, Ge-73(n.g), (n.g)
   1244.390,   6.757e-03, Ge-73(n.g), (n.g)
   4463.000,   6.667e-03, Ge-73(n.g), (n.g)
    841.150,   6.577e-03, Ge-73(n.g), (n.g)
   5354.840,   6.577e-03, Ge-73(n.g), (n.g)
    954.966,   6.486e-03, Ge-73(n.g), (n.g)
   1032.860,   6.396e-03, Ge-73(n.g), (n.g)
   2097.831,   6.396e-03, Ge-73(n.g), (n.g)
   4685.870,   6.396e-03, Ge-73(n.g), (n.g)
   7501.931,   6.396e-03, Ge-73(n.g), (n.g)
    638.827,   6.306e-03, Ge-73(n.g), (n.g)
   1263.610,   6.306e-03, Ge-73(n.g), (n.g)
   1264.740,   6.306e-03, Ge-73(n.g), (n.g)
   1312.983,   6.306e-03, Ge-73(n.g), (n.g)
   4722.530,   6.306e-03, Ge-73(n.g), (n.g)
    204.250,   6.261e-03, Ge-73(n.g), (n.g)
    886.910,   6.216e-03, Ge-73(n.g), (n.g)
    993.720,   6.216e-03, Ge-73(n.g), (n.g)
   6172.940,   6.126e-03, Ge-73(n.g), (n.g)
   4340.340,   6.036e-03, Ge-73(n.g), (n.g)
   1829.664,   5.946e-03, Ge-73(n.g), (n.g)
   2197.901,   5.946e-03, Ge-73(n.g), (n.g)
   5565.450,   5.946e-03, Ge-73(n.g), (n.g)
   5755.770,   5.946e-03, Ge-73(n.g), (n.g)
    419.610,   5.676e-03, Ge-73(n.g), (n.g)
   1312.870,   5.676e-03, Ge-73(n.g), (n.g)
    520.744,   5.405e-03, Ge-73(n.g), (n.g)
    579.968,   5.405e-03, Ge-73(n.g), (n.g)
   1260.980,   5.405e-03, Ge-73(n.g), (n.g)
   1513.890,   5.405e-03, Ge-73(n.g), (n.g)
   2278.659,   5.405e-03, Ge-73(n.g), (n.g)
   4728.420,   5.405e-03, Ge-73(n.g), (n.g)
   5697.700,   5.405e-03, Ge-73(n.g), (n.g)
   1350.172,   5.225e-03, Ge-73(n.g), (n.g)
   2004.440,   5.135e-03, Ge-73(n.g), (n.g)
   2691.540,   5.135e-03, Ge-73(n.g), (n.g)
   3995.700,   5.135e-03, Ge-73(n.g), (n.g)
   5667.930,   5.135e-03, Ge-73(n.g), (n.g)
   5787.070,   4.955e-03, Ge-73(n.g), (n.g)
   2240.040,   4.865e-03, Ge-73(n.g), (n.g)
   6101.760,   4.775e-03, Ge-73(n.g), (n.g)
   2037.210,   4.685e-03, Ge-73(n.g), (n.g)
   5960.920,   4.685e-03, Ge-73(n.g), (n.g)
   2353.240,   4.595e-03, Ge-73(n.g), (n.g)
   1394.640,   4.505e-03, Ge-73(n.g), (n.g)
   1482.460,   4.505e-03, Ge-73(n.g), (n.g)
   1739.390,   4.505e-03, Ge-73(n.g), (n.g)
   5197.480,   4.505e-03, Ge-73(n.g), (n.g)
   6114.940,   4.505e-03, Ge-73(n.g), (n.g)
    916.039,   4.414e-03, Ge-73(n.g), (n.g)
   2753.660,   4.414e-03, Ge-73(n.g), (n.g)
   5782.340,   4.414e-03, Ge-73(n.g), (n.g)
    713.016,   4.324e-03, Ge-73(n.g), (n.g)
   1482.270,   4.324e-03, Ge-73(n.g), (n.g)
   1971.170,   4.324e-03, Ge-73(n.g), (n.g)
   2880.110,   4.324e-03, Ge-73(n.g), (n.g)
   2965.630,   4.324e-03, Ge-73(n.g), (n.g)
    541.960,   4.234e-03, Ge-73(n.g), (n.g)
   6543.846,   4.234e-03, Ge-73(n.g), (n.g)
   4156.640,   4.144e-03, Ge-73(n.g), (n.g)
   5991.030,   4.144e-03, Ge-73(n.g), (n.g)
   6040.440,   4.144e-03, Ge-73(n.g), (n.g)
    784.530,   4.054e-03, Ge-73(n.g), (n.g)
    784.545,   4.054e-03, Ge-73(n.g), (n.g)
   5827.660,   4.054e-03, Ge-73(n.g), (n.g)
   2332.200,   3.964e-03, Ge-73(n.g), (n.g)
   2579.170,   3.964e-03, Ge-73(n.g), (n.g)
    545.011,   3.874e-03, Ge-73(n.g), (n.g)
    670.656,   3.874e-03, Ge-73(n.g), (n.g)
   2987.210,   3.874e-03, Ge-73(n.g), (n.g)
   3210.862,   3.874e-03, Ge-73(n.g), (n.g)
   2215.360,   3.784e-03, Ge-73(n.g), (n.g)
   4368.010,   3.784e-03, Ge-73(n.g), (n.g)
   6489.102,   3.784e-03, Ge-73(n.g), (n.g)
   7020.290,   3.784e-03, Ge-73(n.g), (n.g)
    842.910,   3.694e-03, Ge-73(n.g), (n.g)
   7367.149,   3.694e-03, Ge-73(n.g), (n.g)
    667.821,   3.604e-03, Ge-73(n.g), (n.g)
   1003.420,   3.604e-03, Ge-73(n.g), (n.g)
   1062.360,   3.604e-03, Ge-73(n.g), (n.g)
   1460.990,   3.604e-03, Ge-73(n.g), (n.g)
   1735.400,   3.604e-03, Ge-73(n.g), (n.g)
   1735.970,   3.604e-03, Ge-73(n.g), (n.g)
   1736.460,   3.604e-03, Ge-73(n.g), (n.g)
   1738.930,   3.604e-03, Ge-73(n.g), (n.g)
   2260.440,   3.604e-03, Ge-73(n.g), (n.g)
   2260.550,   3.604e-03, Ge-73(n.g), (n.g)
   2260.740,   3.604e-03, Ge-73(n.g), (n.g)
   2579.506,   3.604e-03, Ge-73(n.g), (n.g)
   4840.830,   3.604e-03, Ge-73(n.g), (n.g)
   6029.570,   3.604e-03, Ge-73(n.g), (n.g)
   6165.450,   3.604e-03, Ge-73(n.g), (n.g)
   7114.372,   3.604e-03, Ge-73(n.g), (n.g)
   2342.993,   3.514e-03, Ge-73(n.g), (n.g)
   2617.030,   3.514e-03, Ge-73(n.g), (n.g)
   2905.360,   3.514e-03, Ge-73(n.g), (n.g)
   3426.900,   3.423e-03, Ge-73(n.g), (n.g)
   6388.969,   3.423e-03, Ge-73(n.g), (n.g)
   7147.138,   3.423e-03, Ge-73(n.g), (n.g)
   3721.330,   3.333e-03, Ge-73(n.g), (n.g)
   4932.050,   3.333e-03, Ge-73(n.g), (n.g)
   4932.170,   3.333e-03, Ge-73(n.g), (n.g)
   6924.440,   3.333e-03, Ge-73(n.g), (n.g)
    530.009,   3.243e-03, Ge-73(n.g), (n.g)
   3578.901,   3.243e-03, Ge-73(n.g), (n.g)
    709.060,   3.153e-03, Ge-73(n.g), (n.g)
   2600.860,   3.153e-03, Ge-73(n.g), (n.g)
   6131.120,   3.153e-03, Ge-73(n.g), (n.g)
    844.470,   3.063e-03, Ge-73(n.g), (n.g)
   1112.590,   3.063e-03, Ge-73(n.g), (n.g)
