Ca-48(n.n'g)

Energy(keV), I -Relative,    Nuclide, Decay_Mode
   3832.200,   1.000e+00,Ca-48(n.n'g), (n.n'g)
    671.800,   2.385e-01,Ca-48(n.n'g), (n.n'g)
    675.050,   2.302e-01,Ca-48(n.n'g), (n.n'g)
    780.250,   1.497e-01,Ca-48(n.n'g), (n.n'g)
   1480.200,   6.700e-02,Ca-48(n.n'g), (n.n'g)
    642.800,   6.289e-02,Ca-48(n.n'g), (n.n'g)
   4507.300,   5.765e-02,Ca-48(n.n'g), (n.n'g)
    753.800,   5.382e-02,Ca-48(n.n'g), (n.n'g)
   1537.800,   5.297e-02,Ca-48(n.n'g), (n.n'g)
   3175.500,   3.853e-02,Ca-48(n.n'g), (n.n'g)
   1841.200,   3.428e-02,Ca-48(n.n'g), (n.n'g)
   1597.800,   2.691e-02,Ca-48(n.n'g), (n.n'g)
   6336.400,   2.422e-02,Ca-48(n.n'g), (n.n'g)
    468.700,   1.969e-02,Ca-48(n.n'g), (n.n'g)
    451.600,   1.926e-02,Ca-48(n.n'g), (n.n'g)
   1315.800,   1.657e-02,Ca-48(n.n'g), (n.n'g)
    862.700,   1.572e-02,Ca-48(n.n'g), (n.n'g)
    757.500,   1.558e-02,Ca-48(n.n'g), (n.n'g)
   6791.000,   1.530e-02,Ca-48(n.n'g), Dopp.Brd?
    866.900,   1.516e-02,Ca-48(n.n'g), (n.n'g)
   7370.000,   1.516e-02,Ca-48(n.n'g), (n.n'g)
   2145.100,   1.445e-02,Ca-48(n.n'g), (n.n'g)
   3463.900,   1.431e-02,Ca-48(n.n'g), (n.n'g)
   2301.900,   1.303e-02,Ca-48(n.n'g), (n.n'g)
   2389.000,   1.261e-02,Ca-48(n.n'g), (n.n'g)
   1226.000,   1.246e-02,Ca-48(n.n'g), (n.n'g)
   2998.700,   1.034e-02,Ca-48(n.n'g), (n.n'g)
   5312.200,   1.034e-02,Ca-48(n.n'g), (n.n'g)
   1504.000,   9.773e-03,Ca-48(n.n'g), (n.n'g)
   2974.800,   9.348e-03,Ca-48(n.n'g), (n.n'g)
    648.400,   9.065e-03,Ca-48(n.n'g), (n.n'g)
   3736.600,   8.782e-03,Ca-48(n.n'g), (n.n'g)
   2524.900,   8.640e-03,Ca-48(n.n'g), (n.n'g)
   2036.800,   7.365e-03,Ca-48(n.n'g), (n.n'g)
   1733.500,   6.941e-03,Ca-48(n.n'g), (n.n'g)
   1767.800,   6.941e-03,Ca-48(n.n'g), (n.n'g)
   1199.300,   5.807e-03,Ca-48(n.n'g), (n.n'g)
   1525.700,   4.391e-03,Ca-48(n.n'g), (n.n'g)
   2073.900,   4.249e-03,Ca-48(n.n'g), (n.n'g)
    803.900,   3.824e-03,Ca-48(n.n'g), (n.n'g)
   2273.100,   3.683e-03,Ca-48(n.n'g), (n.n'g)
   7440.000,   3.399e-03,Ca-48(n.n'g), (n.n'g)
   7297.900,   2.975e-03,Ca-48(n.n'g), Dopp.Brd?
