W-183(n.g)

Energy(keV),  Phot/React,    Nuclide, Decay_Mode
   3667.000,   1.837e-03, W-183(n.g), (n.g)
   3776.500,   1.837e-03, W-183(n.g), (n.g)
   4025.000,   1.837e-03, W-183(n.g), (n.g)
   4342.200,   1.837e-03, W-183(n.g), (n.g)
   4653.000,   1.837e-03, W-183(n.g), (n.g)
   5350.150,   1.837e-03, W-183(n.g), (n.g)
    635.940,   1.769e-03, W-183(n.g), (n.g)
   3449.000,   1.769e-03, W-183(n.g), (n.g)
   4299.000,   1.769e-03, W-183(n.g), (n.g)
   5375.410,   1.769e-03, W-183(n.g), (n.g)
   5783.380,   1.769e-03, W-183(n.g), (n.g)
    882.870,   1.701e-03, W-183(n.g), (n.g)
    882.960,   1.701e-03, W-183(n.g), (n.g)
    930.000,   1.701e-03, W-183(n.g), (n.g)
    769.390,   1.633e-03, W-183(n.g), (n.g)
   3604.000,   1.633e-03, W-183(n.g), (n.g)
   3962.900,   1.633e-03, W-183(n.g), (n.g)
   4971.400,   1.633e-03, W-183(n.g), (n.g)
   5041.200,   1.633e-03, W-183(n.g), (n.g)
   5164.760,   1.633e-03, W-183(n.g), (n.g)
   3956.800,   1.565e-03, W-183(n.g), (n.g)
   4184.000,   1.565e-03, W-183(n.g), (n.g)
   4491.800,   1.565e-03, W-183(n.g), (n.g)
   3759.000,   1.497e-03, W-183(n.g), (n.g)
   5313.250,   1.497e-03, W-183(n.g), (n.g)
   3640.400,   1.429e-03, W-183(n.g), (n.g)
   3724.600,   1.429e-03, W-183(n.g), (n.g)
   4690.700,   1.429e-03, W-183(n.g), (n.g)
   3910.100,   1.361e-03, W-183(n.g), (n.g)
   4166.500,   1.361e-03, W-183(n.g), (n.g)
   4210.800,   1.361e-03, W-183(n.g), (n.g)
    587.200,   1.293e-03, W-183(n.g), (n.g)
    846.050,   1.293e-03, W-183(n.g), (n.g)
   1046.770,   1.293e-03, W-183(n.g), (n.g)
   1110.073,   1.293e-03, W-183(n.g), (n.g)
   1132.370,   1.293e-03, W-183(n.g), (n.g)
   4190.500,   1.293e-03, W-183(n.g), (n.g)
   4781.200,   1.293e-03, W-183(n.g), (n.g)
    802.540,   1.156e-03, W-183(n.g), (n.g)
    982.800,   1.156e-03, W-183(n.g), (n.g)
   4509.100,   1.156e-03, W-183(n.g), (n.g)
   4561.900,   1.156e-03, W-183(n.g), (n.g)
   5602.570,   1.156e-03, W-183(n.g), (n.g)
    315.590,   1.088e-03, W-183(n.g), (n.g)
    539.206,   1.088e-03, W-183(n.g), (n.g)
   3439.000,   1.088e-03, W-183(n.g), (n.g)
   4033.600,   1.088e-03, W-183(n.g), (n.g)
   4082.200,   1.088e-03, W-183(n.g), (n.g)
   4761.400,   1.088e-03, W-183(n.g), (n.g)
   4901.700,   1.088e-03, W-183(n.g), (n.g)
   5380.500,   1.088e-03, W-183(n.g), (n.g)
   6281.020,   1.088e-03, W-183(n.g), (n.g)
   3793.300,   1.020e-03, W-183(n.g), (n.g)
   4218.300,   1.020e-03, W-183(n.g), (n.g)
    203.685,   9.524e-04, W-183(n.g), (n.g)
   3982.600,   9.524e-04, W-183(n.g), (n.g)
   4103.200,   9.524e-04, W-183(n.g), (n.g)
   3628.600,   8.844e-04, W-183(n.g), (n.g)
   4613.300,   8.844e-04, W-183(n.g), (n.g)
    380.270,   8.503e-04, W-183(n.g), (n.g)
    655.400,   8.163e-04, W-183(n.g), (n.g)
   1425.660,   8.163e-04, W-183(n.g), (n.g)
   4039.600,   8.163e-04, W-183(n.g), (n.g)
   4059.500,   8.163e-04, W-183(n.g), (n.g)
   4539.600,   8.163e-04, W-183(n.g), (n.g)
   5189.210,   8.163e-04, W-183(n.g), (n.g)
   5398.170,   8.163e-04, W-183(n.g), (n.g)
    425.040,   7.483e-04, W-183(n.g), (n.g)
    781.940,   7.483e-04, W-183(n.g), (n.g)
    782.000,   7.483e-04, W-183(n.g), (n.g)
    782.080,   7.483e-04, W-183(n.g), (n.g)
   3480.800,   7.483e-04, W-183(n.g), (n.g)
   3924.000,   7.483e-04, W-183(n.g), (n.g)
   4407.000,   7.483e-04, W-183(n.g), (n.g)
   4791.800,   7.483e-04, W-183(n.g), (n.g)
   4924.400,   7.483e-04, W-183(n.g), (n.g)
   5697.620,   7.483e-04, W-183(n.g), (n.g)
    211.590,   6.803e-04, W-183(n.g), (n.g)
    536.980,   6.803e-04, W-183(n.g), (n.g)
   4555.500,   6.803e-04, W-183(n.g), (n.g)
   4855.900,   6.803e-04, W-183(n.g), (n.g)
   5306.870,   6.803e-04, W-183(n.g), (n.g)
   5635.710,   6.803e-04, W-183(n.g), (n.g)
    446.510,   6.122e-04, W-183(n.g), (n.g)
    241.440,   5.918e-04, W-183(n.g), (n.g)
   4428.700,   5.442e-04, W-183(n.g), (n.g)
   5182.780,   5.102e-04, W-183(n.g), (n.g)
   4046.400,   4.762e-04, W-183(n.g), (n.g)
   4094.500,   4.762e-04, W-183(n.g), (n.g)
   5090.700,   4.762e-04, W-183(n.g), (n.g)
   6088.920,   4.762e-04, W-183(n.g), (n.g)
     91.273,   4.694e-04, W-183(n.g), (n.g)
   4837.700,   4.218e-04, W-183(n.g), (n.g)
   5059.100,   4.218e-04, W-183(n.g), (n.g)
   5354.700,   3.061e-04, W-183(n.g), (n.g)
   4820.100,   2.993e-04, W-183(n.g), (n.g)
   4981.500,   2.517e-04, W-183(n.g), (n.g)
   5415.570,   9.524e-05, W-183(n.g), (n.g)
