Ge-73(n.n'g)

Energy(keV), I -Relative,    Nuclide, Decay_Mode
    284.900,   1.000e+00,Ge-73(n.n'g), (n.n'g)
    825.700,   7.937e-01,Ge-73(n.n'g), (n.n'g)
    868.000,   5.714e-01,Ge-73(n.n'g), (n.n'g)
    659.000,   5.317e-01,Ge-73(n.n'g), (n.n'g)
    993.900,   3.667e-01,Ge-73(n.n'g), (n.n'g)
    776.600,   3.333e-01,Ge-73(n.n'g), (n.n'g)
    430.400,   2.937e-01,Ge-73(n.n'g), (n.n'g)
    297.320,   2.873e-01,Ge-73(n.n'g), (n.n'g)
    388.100,   2.778e-01,Ge-73(n.n'g), (n.n'g)
    325.700,   2.508e-01,Ge-73(n.n'g), (n.n'g)
   1062.800,   2.365e-01,Ge-73(n.n'g), (n.n'g)
    799.200,   2.143e-01,Ge-73(n.n'g), (n.n'g)
    590.000,   2.063e-01,Ge-73(n.n'g), (n.n'g)
    531.100,   1.727e-01,Ge-73(n.n'g), (n.n'g)
    906.700,   1.651e-01,Ge-73(n.n'g), (n.n'g)
    340.500,   1.444e-01,Ge-73(n.n'g), (n.n'g)
    562.200,   1.365e-01,Ge-73(n.n'g), (n.n'g)
    741.900,   1.333e-01,Ge-73(n.n'g), (n.n'g)
    233.600,   1.322e-01,Ge-73(n.n'g), (n.n'g)
    645.900,   9.524e-02,Ge-73(n.n'g), (n.n'g)
   1045.800,   9.524e-02,Ge-73(n.n'g), (n.n'g)
    851.200,   9.048e-02,Ge-73(n.n'g), (n.n'g)
    764.100,   8.413e-02,Ge-73(n.n'g), (n.n'g)
    377.800,   7.143e-02,Ge-73(n.n'g), (n.n'g)
   1249.600,   7.143e-02,Ge-73(n.n'g), (n.n'g)
    412.400,   6.349e-02,Ge-73(n.n'g), (n.n'g)
    837.900,   6.349e-02,Ge-73(n.n'g), (n.n'g)
    783.800,   5.556e-02,Ge-73(n.n'g), (n.n'g)
    617.600,   3.968e-02,Ge-73(n.n'g), (n.n'g)
    920.200,   3.492e-02,Ge-73(n.n'g), (n.n'g)
   1030.000,   3.175e-02,Ge-73(n.n'g), (n.n'g)
    729.800,   3.016e-02,Ge-73(n.n'g), (n.n'g)
    993.600,   2.857e-02,Ge-73(n.n'g), (n.n'g)
   1085.500,   2.698e-02,Ge-73(n.n'g), (n.n'g)
    335.300,   2.540e-02,Ge-73(n.n'g), (n.n'g)
   1010.200,   2.381e-02,Ge-73(n.n'g), (n.n'g)
   1324.500,   2.381e-02,Ge-73(n.n'g), (n.n'g)
    541.800,   2.222e-02,Ge-73(n.n'g), (n.n'g)
    925.200,   2.222e-02,Ge-73(n.n'g), (n.n'g)
    951.700,   1.905e-02,Ge-73(n.n'g), (n.n'g)
    501.600,   1.746e-02,Ge-73(n.n'g), (n.n'g)
    708.800,   1.746e-02,Ge-73(n.n'g), (n.n'g)
    767.800,   1.746e-02,Ge-73(n.n'g), (n.n'g)
   2004.100,   1.587e-02,Ge-73(n.n'g), (n.n'g)
    485.900,   1.270e-02,Ge-73(n.n'g), (n.n'g)
   2072.700,   1.270e-02,Ge-73(n.n'g), (n.n'g)
    915.800,   1.111e-02,Ge-73(n.n'g), (n.n'g)
   1610.900,   1.111e-02,Ge-73(n.n'g), (n.n'g)
    934.100,   9.524e-03,Ge-73(n.n'g), (n.n'g)
    739.420,   7.937e-03,Ge-73(n.n'g), (n.n'g)
    873.600,   7.937e-03,Ge-73(n.n'g), (n.n'g)
    975.700,   7.937e-03,Ge-73(n.n'g), (n.n'g)
    351.000,   6.349e-03,Ge-73(n.n'g), (n.n'g)
   1172.300,   6.349e-03,Ge-73(n.n'g), (n.n'g)
   1541.700,   6.349e-03,Ge-73(n.n'g), (n.n'g)
   1609.400,   6.349e-03,Ge-73(n.n'g), (n.n'g)
   1413.300,   5.238e-03,Ge-73(n.n'g), (n.n'g)
    488.100,   4.762e-03,Ge-73(n.n'g), (n.n'g)
    650.400,   4.762e-03,Ge-73(n.n'g), (n.n'g)
    679.300,   4.762e-03,Ge-73(n.n'g), (n.n'g)
   2024.800,   4.762e-03,Ge-73(n.n'g), (n.n'g)
    784.700,   3.175e-03,Ge-73(n.n'g), (n.n'g)
   1445.600,   3.175e-03,Ge-73(n.n'g), (n.n'g)
   1591.000,   3.175e-03,Ge-73(n.n'g), (n.n'g)
   1821.100,   2.381e-03,Ge-73(n.n'g), (n.n'g)
    499.000,   1.587e-03,Ge-73(n.n'g), (n.n'g)
    430.200,          NA,Ge-73(n.n'g), (n.n'g)
    741.700,          NA,Ge-73(n.n'g), (n.n'g)
