Ge-74(n.n'g)

Energy(keV), I -Relative,    Nuclide, Decay_Mode
    595.847,   1.000e+00,Ge-74(n.n'g), (n.n'g)
    608.353,   1.820e-01,Ge-74(n.n'g), (n.n'g)
   1204.208,   1.000e-01,Ge-74(n.n'g), (n.n'g)
    867.898,   8.900e-02,Ge-74(n.n'g), (n.n'g)
   1101.267,   5.100e-02,Ge-74(n.n'g), (n.n'g)
    887.190,   4.600e-02,Ge-74(n.n'g), (n.n'g)
    492.936,   3.900e-02,Ge-74(n.n'g), (n.n'g)
    961.055,   1.900e-02,Ge-74(n.n'g), (n.n'g)
    993.670,   1.800e-02,Ge-74(n.n'g), (n.n'g)
   1940.530,   1.800e-02,Ge-74(n.n'g), (n.n'g)
    701.487,   1.400e-02,Ge-74(n.n'g), (n.n'g)
   2004.500,   1.300e-02,Ge-74(n.n'g), (n.n'g)
   1489.350,   1.100e-02,Ge-74(n.n'g), (n.n'g)
   1105.562,   1.000e-02,Ge-74(n.n'g), (n.n'g)
   2197.950,   9.000e-03,Ge-74(n.n'g), (n.n'g)
   1631.890,   8.000e-03,Ge-74(n.n'g), (n.n'g)
   1131.360,   7.600e-03,Ge-74(n.n'g), (n.n'g)
   2237.900,   7.100e-03,Ge-74(n.n'g), (n.n'g)
   2342.800,   6.000e-03,Ge-74(n.n'g), (n.n'g)
   1332.120,   5.000e-03,Ge-74(n.n'g), (n.n'g)
   1228.290,   4.800e-03,Ge-74(n.n'g), (n.n'g)
   2353.460,   4.600e-03,Ge-74(n.n'g), (n.n'g)
   1617.640,   4.500e-03,Ge-74(n.n'g), (n.n'g)
    182.400,   4.000e-03,Ge-74(n.n'g), (n.n'g)
    715.170,   4.000e-03,Ge-74(n.n'g), (n.n'g)
    999.781,   4.000e-03,Ge-74(n.n'g), (n.n'g)
   1471.720,   4.000e-03,Ge-74(n.n'g), (n.n'g)
   1602.000,   4.000e-03,Ge-74(n.n'g), (n.n'g)
   2073.850,   4.000e-03,Ge-74(n.n'g), (n.n'g)
