 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> January 10, 2023 
 ==================================================================

 Disk File Name = SR_OUTPUT.txt

 Ion = Praseodymium [59] , Mass = 147.9221 amu

 Density =  1.6422E-04 g/cm3 = 2.4707E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Praseodymium [59] , Mass = 147.9221 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
 350.00 keV   2.032E+00  1.320E+01    1.55 mm   117.53 um   108.47 um  
 375.00 keV   2.148E+00  1.307E+01    1.65 mm   123.73 um   114.63 um  
 400.00 keV   2.249E+00  1.294E+01    1.74 mm   129.84 um   120.75 um  
 450.00 keV   2.417E+00  1.268E+01    1.94 mm   143.19 um   132.92 um  
 500.00 keV   2.551E+00  1.242E+01    2.14 mm   156.11 um   145.01 um  
 550.00 keV   2.664E+00  1.217E+01    2.35 mm   168.70 um   157.06 um  
 600.00 keV   2.762E+00  1.193E+01    2.55 mm   181.05 um   169.09 um  
 650.00 keV   2.851E+00  1.169E+01    2.76 mm   193.19 um   181.13 um  
 700.00 keV   2.934E+00  1.147E+01    2.96 mm   205.17 um   193.17 um  
 800.00 keV   3.092E+00  1.104E+01    3.39 mm   232.50 um   217.31 um  
 900.00 keV   3.244E+00  1.064E+01    3.82 mm   258.76 um   241.54 um  
   1.00 MeV   3.394E+00  1.027E+01    4.26 mm   284.19 um   265.85 um  
   1.10 MeV   3.543E+00  9.931E+00    4.70 mm   308.95 um   290.22 um  
   1.20 MeV   3.692E+00  9.616E+00    5.15 mm   333.10 um   314.63 um  
   1.30 MeV   3.842E+00  9.323E+00    5.61 mm   356.73 um   339.06 um  
   1.40 MeV   3.992E+00  9.050E+00    6.07 mm   379.86 um   363.48 um  
   1.50 MeV   4.143E+00  8.795E+00    6.53 mm   402.53 um   387.87 um  
   1.60 MeV   4.295E+00  8.557E+00    7.00 mm   424.76 um   412.21 um  
   1.70 MeV   4.448E+00  8.333E+00    7.47 mm   446.55 um   436.46 um  
   1.80 MeV   4.601E+00  8.123E+00    7.95 mm   467.93 um   460.61 um  
   2.00 MeV   4.909E+00  7.738E+00    8.90 mm   518.16 um   508.55 um  
   2.25 MeV   5.293E+00  7.313E+00   10.10 mm   581.82 um   567.57 um  
   2.50 MeV   5.675E+00  6.940E+00   11.30 mm   640.82 um   625.38 um  
   2.75 MeV   6.049E+00  6.608E+00   12.49 mm   695.89 um   681.85 um  
   3.00 MeV   6.415E+00  6.312E+00   13.68 mm   747.55 um   736.88 um  
   3.25 MeV   6.771E+00  6.046E+00   14.87 mm   796.21 um   790.42 um  
   3.50 MeV   7.118E+00  5.804E+00   16.04 mm   842.18 um   842.48 um  
   3.75 MeV   7.458E+00  5.585E+00   17.21 mm   885.71 um   893.05 um  
   4.00 MeV   7.792E+00  5.383E+00   18.37 mm   927.01 um   942.14 um  
   4.50 MeV   8.456E+00  5.028E+00   20.64 mm     1.03 mm     1.04 mm  
   5.00 MeV   9.128E+00  4.722E+00   22.85 mm     1.12 mm     1.12 mm  
   5.50 MeV   9.819E+00  4.457E+00   25.01 mm     1.20 mm     1.21 mm  
   6.00 MeV   1.053E+01  4.224E+00   27.10 mm     1.27 mm     1.28 mm  
   6.50 MeV   1.127E+01  4.018E+00   29.12 mm     1.33 mm     1.36 mm  
   7.00 MeV   1.204E+01  3.833E+00   31.06 mm     1.39 mm     1.42 mm  
   8.00 MeV   1.361E+01  3.516E+00   34.74 mm     1.53 mm     1.54 mm  
   9.00 MeV   1.524E+01  3.254E+00   38.15 mm     1.65 mm     1.65 mm  
  10.00 MeV   1.690E+01  3.033E+00   41.31 mm     1.74 mm     1.74 mm  
  11.00 MeV   1.855E+01  2.843E+00   44.25 mm     1.82 mm     1.82 mm  
  12.00 MeV   2.020E+01  2.678E+00   46.99 mm     1.89 mm     1.89 mm  
  13.00 MeV   2.182E+01  2.534E+00   49.56 mm     1.94 mm     1.95 mm  
  14.00 MeV   2.342E+01  2.406E+00   51.98 mm     1.99 mm     2.00 mm  
  15.00 MeV   2.497E+01  2.292E+00   54.27 mm     2.03 mm     2.05 mm  
  16.00 MeV   2.648E+01  2.189E+00   56.44 mm     2.07 mm     2.10 mm  
  17.00 MeV   2.795E+01  2.097E+00   58.51 mm     2.11 mm     2.14 mm  
  18.00 MeV   2.936E+01  2.012E+00   60.49 mm     2.14 mm     2.17 mm  
  20.00 MeV   3.205E+01  1.864E+00   64.22 mm     2.22 mm     2.24 mm  
  22.50 MeV   3.516E+01  1.710E+00   68.51 mm     2.32 mm     2.30 mm  
  25.00 MeV   3.798E+01  1.582E+00   72.49 mm     2.40 mm     2.36 mm  
  27.50 MeV   4.057E+01  1.474E+00   76.22 mm     2.47 mm     2.41 mm  
  30.00 MeV   4.294E+01  1.381E+00   79.74 mm     2.54 mm     2.45 mm  
  32.50 MeV   4.513E+01  1.300E+00   83.09 mm     2.59 mm     2.49 mm  
  35.00 MeV   4.715E+01  1.228E+00   86.30 mm     2.64 mm     2.52 mm  
  37.50 MeV   4.904E+01  1.165E+00   89.38 mm     2.68 mm     2.55 mm  
  40.00 MeV   5.081E+01  1.109E+00   92.36 mm     2.72 mm     2.58 mm  
  45.00 MeV   5.405E+01  1.013E+00   98.05 mm     2.85 mm     2.63 mm  
  50.00 MeV   5.697E+01  9.330E-01  103.44 mm     2.96 mm     2.67 mm  
  55.00 MeV   5.963E+01  8.660E-01  108.58 mm     3.05 mm     2.71 mm  
